Name: 3, Condition: 1, Run: 4, Date: 10/9/2019 4:15:52 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.769997,0,5.379435,21.51774,-9.733332,-2.566761
3.779997,0,5.53384,22.13536,-9.511978,-2.661881
3.789997,0,5.584198,22.33679,-9.28861,-2.754767
3.799997,0,5.533719,22.13487,-9.067262,-2.84544
3.809997,0,5.387536,21.55014,-8.85176,-2.933958
3.819997,0,5.152616,20.61046,-8.645656,-3.020414
3.829997,0,4.837609,19.35044,-8.452151,-3.104936
3.839997,0,4.452661,17.81064,-8.274045,-3.187676
3.849997,0,4.009219,16.03688,-8.113676,-3.268813
3.859997,0,3.519786,14.07914,-7.972885,-3.348542
3.869997,0,2.997688,11.99075,-7.852977,-3.427072
3.879997,0,2.456789,9.827155,-7.754706,-3.504619
3.889997,0,1.911238,7.644952,-7.678257,-3.581401
3.899997,0,1.375167,5.500668,-7.62325,-3.657634
3.909997,0,0.8624346,3.449739,-7.588753,-3.733521
3.919997,0,0.38635,1.5454,-7.573299,-3.809254
3.929997,0,-0.0406643,-0.1626572,-7.574925,-3.885003
3.939997,0,-0.4071665,-1.628666,-7.591212,-3.960915
3.949997,0,-0.7030569,-2.812228,-7.619335,-4.037109
3.959997,0,-0.9197189,-3.678875,-7.656124,-4.11367
3.969997,0,-1.050212,-4.200849,-7.698132,-4.190652
3.979997,0,-1.089399,-4.357594,-7.741708,-4.268069
3.989997,0,-1.034068,-4.136274,-7.783071,-4.3459
3.999997,0,-0.88299,-3.53196,-7.81839,-4.424084
4.009997,0,-0.6369523,-2.547809,-7.843868,-4.502522
4.019997,0,-0.2987808,-1.195123,-7.85582,-4.58108
4.029997,0,0.1267618,0.5070473,-7.850749,-4.659588
4.039998,0,0.6329919,2.531968,-7.825429,-4.737842
4.049998,0,1.211469,4.845874,-7.776971,-4.815612
4.059998,0,1.852123,7.408492,-7.702886,-4.892641
4.069998,0,2.543432,10.17373,-7.601149,-4.968652
4.079998,0,3.272703,13.09081,-7.470241,-5.043355
4.089999,0,4.026199,16.1048,-7.309193,-5.116446
4.099999,0,4.789455,19.15782,-7.117614,-5.187623
4.109999,0,5.547528,22.19011,-6.895713,-5.25658
4.119999,0,6.285341,25.14137,-6.6443,-5.323023
4.13,0,6.987864,27.95146,-6.364785,-5.386671
4.14,0,7.640445,30.56178,-6.059167,-5.447262
4.15,0,8.22912,32.91648,-5.730002,-5.504562
4.16,0,8.740808,34.96323,-5.38037,-5.558366
4.170001,0,9.16366,36.65464,-5.013823,-5.608504
4.180001,0,9.487208,37.94883,-4.634335,-5.654848
4.190001,0,9.702575,38.8103,-4.246232,-5.69731
4.200001,0,9.802709,39.21083,-3.854123,-5.735851
4.210001,0.07950239,9.782478,39.44792,-3.459644,-5.770448
4.220002,0.07950239,9.638815,38.87327,-3.070911,-5.801157
4.230002,0.2253108,9.37073,38.38416,-2.68707,-5.828028
4.240002,0.3688586,8.979443,37.3932,-2.313138,-5.851159
4.250002,0.3688586,8.468278,35.34855,-1.959652,-5.870756
4.260003,0.4265038,7.8427,33.07682,-1.628884,-5.887044
4.270003,0.4265038,7.110176,30.14672,-1.327417,-5.900319
