Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.529997,0,-9.305019,-37.22008,1.000344,5.56294
3.539997,0,-9.390053,-37.56021,0.6247416,5.569188
3.549997,0,-9.343702,-37.37481,0.2509935,5.571698
3.559997,0,-9.168015,-36.67206,-0.1157271,5.57054
3.569997,0,-8.867193,-35.46877,-0.4704149,5.565836
3.579997,0,-8.447486,-33.78994,-0.8083143,5.557753
3.589997,0,-7.91709,-31.66836,-1.124998,5.546503
3.599997,0,-7.285983,-29.14393,-1.416437,5.532339
3.609997,0,-6.565726,-26.2629,-1.679066,5.515548
3.619997,0,-5.769268,-23.07707,-1.909837,5.496449
3.629997,0,-4.910685,-19.64274,-2.106264,5.475387
3.639997,0,-4.004961,-16.01984,-2.266463,5.452722
3.649997,0,-3.0676,-12.2704,-2.389167,5.428831
3.659997,0,-2.114509,-8.458035,-2.473747,5.404093
3.669997,0,-1.161585,-4.646342,-2.520211,5.378891
3.679997,0,-0.2244809,-0.8979235,-2.52919,5.353599
3.689997,0,0.6817052,2.726821,-2.501922,5.32858
3.699997,0,1.542675,6.1707,-2.440215,5.304178
3.709997,0,2.345196,9.380786,-2.346407,5.280714
3.719997,0,3.077345,12.30938,-2.223313,5.258481
3.729997,0,3.728688,14.91475,-2.074166,5.237739
3.739997,-0.006598179,4.290497,17.1356,-1.90281,5.218711
3.749997,-0.05294024,4.755858,18.81167,-1.714693,5.201564
3.759997,-0.05294024,5.119819,20.26751,-1.512018,5.186444
3.769997,-0.1026734,5.379435,21.10705,-1.300947,5.173434
3.779997,-0.1625794,5.53384,21.48504,-1.086097,5.162573
3.789997,-0.2925636,5.584198,21.16654,-0.8744316,5.153829
3.799997,-0.4281992,5.533719,20.42208,-0.6702108,5.147127
3.809997,-0.6011349,5.387536,19.14561,-0.4787548,5.14234
3.819997,-0.8757972,5.152616,17.10727,-0.3076821,5.139263
3.829997,-1.108639,4.837609,14.91588,-0.1585232,5.137678
3.839997,-1.641009,4.452661,11.24661,-0.04605719,5.137217
3.849997,-1.886283,4.009219,8.491743,0.03886024,5.137606
3.859997,-1.886283,3.519786,6.534009,0.1042003,5.138648
3.869997,-2.107822,2.997688,3.559462,0.1397949,5.140046
3.879997,-2.304494,2.456789,0.6091795,0.1458867,5.141504
3.889997,-2.490993,1.911238,-2.31902,0.1226965,5.142731
3.899997,-2.601762,1.375167,-4.90638,0.07363273,5.143467
3.909997,-2.663929,0.8624346,-7.205976,0.001572969,5.143483
3.919997,-2.67071,0.38635,-9.137442,-0.08980145,5.142585
3.929997,-2.67071,-0.0406643,-10.8455,-0.1982564,5.140603
3.939997,-2.59272,-0.4071665,-11.99955,-0.3182519,5.13742
3.949997,-2.506817,-0.7030569,-12.8395,-0.4466468,5.132954
3.959997,-2.506817,-0.9197189,-13.70614,-0.5837083,5.127117
3.969997,-2.419784,-1.050212,-13.87998,-0.7225081,5.119892
